Date,R_dyn,R_0,R_100
1998-12-31,0.0,0.0,0.0
1999-01-31,1.950786311114973,-0.02103312269005498,3.922905744920001
1999-02-28,1.9181335550117784,-0.01767325277912552,3.8539403628026827
1999-03-31,1.8751745001249192,-0.02024497395719821,3.7705939742070367
1999-04-30,1.8439614400966047,-0.01179527255656232,3.6997181527497722
1999-05-31,1.8592406568645874,-0.011688437365929831,3.730169751095105
1999-06-30,1.9320605098876815,-0.0009371442699144597,3.8650581640452772
1999-07-31,1.9245755596471297,0.015235420724388849,3.8339156985698706
1999-08-31,1.9321431566909655,-0.012451667593975861,3.876737980975906
1999-09-30,2.0041358398786735,5.7265963198990105e-05,4.008214413794148
1999-10-31,1.998894568916191,-0.0110970343405111,4.008886172172893
1999-11-30,2.37521287144843,-0.03200761828567866,4.782433361182539
1999-12-31,2.144753497887711,-0.00458790039919237,4.294094896174615
2000-01-31,2.2655267040228204,-0.02299248625226016,4.554045894297902
2000-02-29,2.306676041069829,0.00164636254701988,4.6117057195926385
2000-03-31,2.373562560748683,-0.01781242193790116,4.764937543435268
2000-04-30,2.473555503700828,-0.030473863933883502,4.977584871335539
2000-05-31,2.551680271207714,0.03006391902538814,5.073296623390039
2000-06-30,2.5806355388359328,0.00674625180954461,5.15452482586232
2000-07-31,2.5592017171168213,-0.01820450543606636,5.136607939669709
2000-08-31,2.5730702187406695,-0.029697710106224268,5.175838147587563
2000-09-30,2.584005870310482,-0.010028076643259571,5.178039817264223
2000-10-31,2.5603260943786688,-0.0264204023206093,5.147072591077947
2000-11-30,2.6676446627393835,0.0243798655075884,5.310909459971179
2000-12-31,2.59502105513476,0.05640283965540896,5.13363927061411
2001-01-31,2.324138301823573,0.0028305717997128502,4.645446031847432
2001-02-28,2.209547602122897,-0.00663965791482934,4.425734862160623
2001-03-31,1.8065595267803303,-0.031713667804230156,4.315571437241239
2001-04-30,1.6375744917642736,0.00771680730163305,3.890702991388575
2001-05-31,2.5205296054495534,-0.04415098823025188,3.70441586345742
2001-06-30,2.948723093487522,0.00900263982142721,3.596209345394085
2001-07-31,2.891957146823997,0.02251224005195613,3.5343904181811663
2001-08-31,2.7383672469239664,0.02365185450760344,3.396199474092108
2001-09-30,2.225305599600344,-0.00828578409107779,2.672403219511028
2001-10-31,1.9639597392791481,-0.00524441576354924,2.3843563883328533
2001-11-30,2.051185309654385,0.0012578244078870204,2.2580491139866625
2001-12-31,1.9209264602879628,-0.00310080525195432,2.0958022492137824
2002-01-31,1.8665371100600532,-0.01901376823023153,2.0244425885277813
2002-02-28,2.0624492505131986,0.00689245237763439,2.062479250513199
2002-03-31,2.0220864032218264,-0.0006775676812484403,2.0220864032218264
2002-04-30,2.0043294577391584,0.0168228091439135,2.0043294577391584
2002-05-31,1.942912110196311,0.02749688898544511,1.942912110196311
2002-06-30,1.9177937466403947,0.03413235290127477,1.9177937466403947
2002-07-31,1.8186867295482014,-0.01732372215037823,1.8186867295482014
2002-08-31,1.8209953125701532,0.00704613462745317,1.8209953125701532
2002-09-30,1.8081292320818765,0.0018097747060822804,1.8081292320818765
2002-10-31,1.752814468496127,0.00491305551576414,1.752814468496127
2002-11-30,1.6409563258952518,0.00606591444227105,1.6409563258952518
2002-12-31,1.5941596663591269,0.02990967515292817,1.5941596663591269
2003-01-31,1.5624760802718898,0.01976910737329214,1.5624760802718898
2003-02-28,1.506615591328994,0.008961233845612222,1.506615591328994
2003-03-31,1.426408573746779,0.008881195887209939,1.426408573746779
2003-04-30,1.4191317611213519,0.02355575251929084,1.4191317611213519
2003-05-31,1.4257180810154857,0.03961591020464646,1.4257180810154857
2003-06-30,1.3280020190930126,-0.01737957761213522,1.3280020190930126
2003-07-31,1.262623029128032,-0.01570564877567933,1.262623029128032
2003-08-31,1.316943152169306,-0.01700423797057926,1.316943152169306
2003-09-30,1.3214890201482103,0.032430454545123284,1.3214890201482103
2003-10-31,1.3331663788653703,-0.007831375025737181,1.3331663788653703
2003-11-30,1.38188974880389,0.023310814234869123,1.38188974880389
2003-12-31,1.36634262350426,0.03117900405505778,1.36634262350426
2004-01-31,1.370121830740771,-0.012286322279691871,1.370121830740771
2004-02-29,1.4034325342021734,0.00036953055162718986,1.4034325342021734
2004-03-31,1.407791059009559,-0.015785050628033162,1.407791059009559
