,EURCHF,EURGBP,EURJPY,EURUSD
Composite score,0.37703306739574904,1.4408780676640869,-0.22870822522828252,0.23651079152745136
External balances & valuation,-0.1390043198755521,-0.0027420392533575,0.2922143656935926,-0.8538514140533094
Relative monetary tightening bias,0.783248782475757,1.946769772504441,-1.1916743281012347,1.1110274649804754
Relative price competitiveness,0.3534450643136461,2.110281008074085,-0.0355036659466921,0.5110174219568867
Relative economic activity,-0.247038863069672,-0.4211284661710232,-0.0118004852157372,-0.6972897680874954
Hedging cost (−),1.134514673134566,3.0,-0.1967770125713411,1.1116502528406995
