pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio,R_FX,Hedge_decision_oos,Hedge_used_oos,dh_oos,tc_oos,pnl_dyn_oos,pnl_0_oos,pnl_100_oos
EURCHF,1998-12-31,EUR,CHF,1.6002,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-01-31,EUR,CHF,1.6094,0.0057328172960088,0.0271962550799989,1.19458,1.167383744920001,,,,,,,,,,,,,,,,,,,,,,,-1.167383744920001,,0.0,0.0,0.5,0.0057328172960088,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-02-28,EUR,CHF,1.595,-0.0089877024930875,0.0291006371973177,1.24333,1.2142293628026823,,1.1908065538613417,,,,,,,,,1.6015333333333333,,,,,,,,,,,,-1.2142293628026823,,0.0,0.0,0.5,-0.0089877024930875,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-03-31,EUR,CHF,1.5972,0.0013783599701213,0.0322820257929636,1.19125,1.1589679742070362,,1.1865986685048593,,,,,,,,-0.0018765252269573,1.6005333333333331,,,,,,,,,,,,-1.1589679742070362,,0.0,0.0,0.5,0.0013783599701213,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-04-30,EUR,CHF,1.6128,0.0097197026879832,0.0273968472502277,0.96167,0.9342731527497724,,1.0466205634784045,,,,,,,,0.002110360165017,1.6016666666666666,,,,,,,,,,,,-0.9342731527497724,,0.0,0.0,0.5,0.0097197026879832,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-05-31,EUR,CHF,1.59145,-0.0133262485507165,0.0263312489048948,1.0,0.9736687510951052,,0.9539709519224387,,,,,,,,-0.002228185892612,1.6004833333333333,,,,,,,,,,,,-0.9736687510951052,,0.0,0.0,0.5,-0.0133262485507165,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-06-30,EUR,CHF,1.60375,0.0076990866035132,0.0256698359547229,1.17833,1.1526601640452772,,1.063164457570191,,,,,,,,0.0040925407407799,1.602666666666667,,,,,,,,,,,,-1.1526601640452772,,0.0,0.0,0.5,0.0076990866035132,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-07-31,EUR,CHF,1.59615,-0.0047501573739959,0.0249183014301292,1.02167,0.9967516985698708,,1.074705931307574,,,,,,,,-0.0103773193211992,1.5971166666666667,,,,,,,,,,,,-0.9967516985698708,,0.0,0.0,0.5,-0.0047501573739959,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-08-31,EUR,CHF,1.6008,0.0029090247136734,0.0260540190240936,0.96333,0.9372759809759064,,0.9670138397728886,,,,,,,,0.0058579539431907,1.6002333333333334,,,,,,,,,,,,-0.9372759809759064,,0.0,0.0,0.5,0.0029090247136734,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-09-30,EUR,CHF,1.59835,-0.0015316571457853,0.0245575862058524,1.19167,1.1671124137941475,,1.052194197385027,,,,,,,,-0.0033727898061078,1.5984333333333334,,,,,,,,,,,,-1.1671124137941475,,0.0,0.0,0.5,-0.0015316571457853,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-10-31,EUR,CHF,1.6049,0.0040896022033722,0.0238428278271074,1.17333,1.1494871721728923,,1.15829979298352,,,,,,,,0.0054669697712603,1.60135,,,,,,,,,,,,-1.1494871721728923,,0.0,0.0,0.5,0.0040896022033722,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-11-30,EUR,CHF,1.6021,-0.0017461806744418,0.0312326388174613,2.04333,2.012097361182539,,1.5807922666777157,,,,,,,,0.000811764383145,1.6017833333333331,1.6010083333333334,1.0,,,,,,,,,,-2.012097361182539,,0.0,0.0,0.5,-0.0017461806744418,,,0.0,0.0,0.0,0.0,0.0
EURCHF,1999-12-31,EUR,CHF,1.60055,-0.0009679484932911,0.031697103825385,1.58833,1.556632896174615,,1.7843651286785769,,,,0.0002186987433538,,,,0.0013754730356391,1.6025166666666666,1.6010375,1.0,,,,,,,,,,-1.556632896174615,,0.0,0.0,0.5,-0.0009679484932911,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-01-31,EUR,CHF,1.60855,0.0049858318982515,0.0320881057020985,2.06833,2.036241894297901,,1.7964373952362582,,,,-0.0005282866544034,,,,0.0022717027305185,1.6037333333333332,1.6009666666666666,1.0,,,,,,,,,,-2.036241894297901,,0.0,0.0,0.5,0.0049858318982515,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-02-29,EUR,CHF,1.606,-0.001586536550922,0.0316702804073623,2.2,2.168329719592638,,2.10228580694527,,,,0.006872879287762,,,,0.0024313468540383,1.605033333333333,1.601883333333333,1.0,52.60791366906476,0.0521582733812951,,,,,,,,-2.168329719592638,,0.0,0.0,0.5,-0.001586536550922,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-03-31,EUR,CHF,1.5911,-0.0093210145928962,0.0362194565647326,2.575,2.5387805434352675,,2.3535551315139527,,,,-0.0038264952752554,,,,-0.0059217192455666,1.601883333333333,1.601375,1.0,42.17279726261764,-0.1565440547476471,,,,,,,,-2.5387805434352675,,0.0,0.0,0.5,-0.0093210145928962,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-04-30,EUR,CHF,1.56483,-0.016648409037893,0.0339161286644609,3.1,3.066083871335539,,2.802432207385404,,,,-0.0301946070011317,,,,-0.0275559601817113,1.5873099999999998,1.5973774999999997,-1.0,38.28531490253943,-0.2342937019492114,,,,,,,,-3.066083871335539,,0.0,0.0,0.5,-0.016648409037893,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-05-31,EUR,CHF,1.5763,0.007303136756579,0.0432453766099607,2.78333,2.740084623390039,,2.903084247362789,,,,-0.0095652216938361,,,,-0.0186662868742102,1.5774100000000002,1.596115,-1.0,42.42973051289486,-0.1514053897421028,,,,,,,,-2.740084623390039,,0.0,0.0,0.5,0.007303136756579,,,0.0,0.0,0.0,0.0,0.0
EURCHF,2000-06-30,EUR,CHF,1.55675,-0.0124800138799353,0.04306117413768,3.23667,3.19360882586232,,2.96684672462618,,,,-0.0297443221772847,,,,-0.0218252861612494,1.5659600000000002,1.5921983333333332,-1.0,30.26269455595471,-0.3947461088809058,,,,,,,,-3.19360882586232,,0.0,0.0,0.5,-0.0124800138799353,,,0.0,0.0,0.0,0.0,0.0
