Date,pair,pnl_dyn,pnl_0,pnl_100,h_used,dh,tc
1998-12-31,EURCHF,0.0,0.0,-0.0,0.0,0.0,0.0
1999-01-31,EURCHF,0.5864082811080049,0.0057328172960088,1.167383744920001,0.5,0.5,0.00015
1999-02-28,EURCHF,0.6026208301547974,-0.0089877024930875,1.2142293628026823,0.5,0.0,0.0
1999-03-31,EURCHF,0.5801731670885788,0.0013783599701213,1.1589679742070362,0.5,0.0,0.0
1999-04-30,EURCHF,0.4719964277188778,0.0097197026879832,0.9342731527497724,0.5,0.0,0.0
1999-05-31,EURCHF,0.48017125127219434,-0.0133262485507165,0.9736687510951052,0.5,0.0,0.0
1999-06-30,EURCHF,0.5801796253243952,0.0076990866035132,1.1526601640452772,0.5,0.0,0.0
1999-07-31,EURCHF,0.49600077059793746,-0.0047501573739959,0.9967516985698708,0.5,0.0,0.0
1999-08-31,EURCHF,0.4700925028447899,0.0029090247136734,0.9372759809759064,0.5,0.0,0.0
1999-09-30,EURCHF,0.5827903783241811,-0.0015316571457853,1.1671124137941475,0.5,0.0,0.0
1999-10-31,EURCHF,0.5767883871881323,0.0040896022033722,1.1494871721728923,0.5,0.0,0.0
1999-11-30,EURCHF,1.0051755902540485,-0.0017461806744418,2.012097361182539,0.5,0.0,0.0
1999-12-31,EURCHF,0.7778324738406619,-0.0009679484932911,1.556632896174615,0.5,0.0,0.0
2000-01-31,EURCHF,1.0206138630980763,0.0049858318982515,2.036241894297901,0.5,0.0,0.0
2000-02-29,EURCHF,1.083371591520858,-0.001586536550922,2.168329719592638,0.5,0.0,0.0
2000-03-31,EURCHF,1.2647297644211857,-0.0093210145928962,2.5387805434352675,0.5,0.0,0.0
2000-04-30,EURCHF,1.5247177311488231,-0.016648409037893,3.066083871335539,0.5,0.0,0.0
2000-05-31,EURCHF,1.373693880073309,0.007303136756579,2.740084623390039,0.5,0.0,0.0
2000-06-30,EURCHF,1.5905644059911923,-0.0124800138799353,3.19360882586232,0.5,0.0,0.0
2000-07-31,EURCHF,1.579650519888104,-0.0059918998935012,3.165292939669709,0.5,0.0,0.0
2000-08-31,EURCHF,1.6094629915793455,-0.0003231644288724,3.2192491475875635,0.5,0.0,0.0
2000-09-30,EURCHF,1.6110135628510558,-0.0155046915621117,3.237531817264223,0.5,0.0,0.0
2000-10-31,EURCHF,1.5840587841996683,0.0024589773213899,3.1656585910779467,0.5,0.0,0.0
2000-11-30,EURCHF,1.694966685203109,-0.011726089564961,3.401659459971179,0.5,0.0,0.0
2000-12-31,EURCHF,1.662879782163147,0.0058472937121836,3.31991227061411,0.5,0.0,0.0
2001-01-31,EURCHF,1.7070725166047167,0.0086910013620012,3.405454031847432,0.5,0.0,0.0
2001-02-28,EURCHF,1.6946225344050296,0.0056982066494357,3.3835468621606237,0.5,0.0,0.0
2001-03-31,EURCHF,-0.0076457983612422,-0.0074957983612422,3.3172584372412395,0.0,-0.5,0.00015
