pair,Date,base,fore,spot,ret_1m,rate_base,rate_fore,carry_nom_1m,carry_real_1m,policy_bias,CarryScore,cpi_yoy_base,cpi_yoy_fore,dSpot_12m,dPPP_12m,Value_PPP,ValueScore,mom_3m,ma_fast,ma_slow,ma_signal,rsi_14,rsi_signal,z_bb,MomentumScore,gdp_yoy_base,gdp_yoy_fore,gdp_yoy_diff,cpi_yoy_diff,MacroScore,hedge_cost_1m,HedgeCostScore,FX_Score,FX_Score_next,HedgeRatio
EURCHF,1998-12-31,EUR,CHF,1.6002,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
EURCHF,1999-01-31,EUR,CHF,1.6094,0.00573281729600883,0.0271962550799989,1.19458,1.167383744920001,,,,,,,,,,,,,,,,,,,,,,,-1.167383744920001,,0.0,0.0,0.5
EURCHF,1999-02-28,EUR,CHF,1.595,-0.008987702493087502,0.029100637197317702,1.24333,1.2142293628026823,,1.1908065538613417,,,,,,,,,1.6015333333333333,,,,,,,,,,,,-1.2142293628026823,,0.0,0.0,0.5
EURCHF,1999-03-31,EUR,CHF,1.5972,0.0013783599701213123,0.03228202579296369,1.19125,1.1589679742070362,,1.1865986685048593,,,,,,,,-0.0018765252269573596,1.6005333333333331,,,,,,,,,,,,-1.1589679742070362,,0.0,0.0,0.5
EURCHF,1999-04-30,EUR,CHF,1.6128,0.009719702687983223,0.02739684725022773,0.96167,0.9342731527497723,,1.0466205634784043,,,,,,,,0.0021103601650170334,1.6016666666666666,,,,,,,,,,,,-0.9342731527497723,,0.0,0.0,0.5
EURCHF,1999-05-31,EUR,CHF,1.59145,-0.013326248550716568,0.0263312489048948,1.0,0.9736687510951052,,0.9539709519224387,,,,,,,,-0.0022281858926120335,1.6004833333333333,,,,,,,,,,,,-0.9736687510951052,,0.0,0.0,0.5
EURCHF,1999-06-30,EUR,CHF,1.60375,0.007699086603513261,0.02566983595472294,1.17833,1.1526601640452772,,1.063164457570191,,,,,,,,0.004092540740779915,1.6026666666666667,,,,,,,,,,,,-1.1526601640452772,,0.0,0.0,0.5
EURCHF,1999-07-31,EUR,CHF,1.59615,-0.004750157373995978,0.024918301430129297,1.02167,0.9967516985698708,,1.074705931307574,,,,,,,,-0.010377319321199285,1.5971166666666667,,,,,,,,,,,,-0.9967516985698708,,0.0,0.0,0.5
EURCHF,1999-08-31,EUR,CHF,1.6008,0.002909024713673436,0.026054019024093655,0.96333,0.9372759809759064,,0.9670138397728886,,,,,,,,0.005857953943190719,1.6002333333333334,,,,,,,,,,,,-0.9372759809759064,,0.0,0.0,0.5
EURCHF,1999-09-30,EUR,CHF,1.59835,-0.0015316571457853478,0.024557586205852466,1.19167,1.1671124137941475,,1.052194197385027,,,,,,,,-0.00337278980610789,1.5984333333333334,,,,,,,,,,,,-1.1671124137941475,,0.0,0.0,0.5
EURCHF,1999-10-31,EUR,CHF,1.6049,0.0040896022033722335,0.02384282782710745,1.17333,1.1494871721728925,,1.1582997929835201,,,,,,,,0.005466969771260322,1.60135,,,,,,,,,,,,-1.1494871721728925,,0.0,0.0,0.5
